Year,Datetime,Stage,Stadium,City,Home Team Name,Home Team Goals,Away Team Goals,Away Team Name,Win conditions,Host_Country,Tournament_Decade,Goal_Difference,Match_Outcome,Home_Win,Away_Win,Draw,Winning_Margin,Stage_Normalized,Is_Knockout,Goals_Per_Match,Tournament_Number,Is_Host_Match,Went_To_Extra_Time,Decided_On_Penalties,Went_To_Shootout,Match_Importance,Home_Continent,Away_Continent,Host_Continent
1950,1950-06-25 15:00:00,Group Stage,Pacaembu,Sao Paulo ,Sweden,3.0,2.0,Italy,,Brazil,1950,1.0,Home Win,True,False,False,Narrow,Group Stage,False,5.0,4,False,False,False,False,1,Europe,Europe,South America
1950,1950-06-25 15:00:00,Group Stage,Independencia,Belo Horizonte ,Yugoslavia,3.0,0.0,Switzerland,,Brazil,1950,3.0,Home Win,True,False,False,Rout,Group Stage,False,3.0,4,False,False,False,False,1,Europe,Europe,South America
1950,1950-06-28 15:00:00,Group Stage,Pacaembu,Sao Paulo ,Brazil,2.0,2.0,Switzerland,,Brazil,1950,0.0,Draw,False,False,True,,Group Stage,False,4.0,4,True,False,False,False,1,South America,Europe,South America
1950,1950-06-28 15:00:00,Group Stage,Eucaliptos,Porto Alegre ,Yugoslavia,4.0,1.0,Mexico,,Brazil,1950,3.0,Home Win,True,False,False,Rout,Group Stage,False,5.0,4,False,False,False,False,1,Europe,North America,South America
1950,1950-06-29 15:00:00,Group Stage,Maracan� - Est�dio Jornalista M�rio Filho,Rio De Janeiro ,Spain,2.0,0.0,Chile,,Brazil,1950,2.0,Home Win,True,False,False,Clear,Group Stage,False,2.0,4,False,False,False,False,1,Europe,South America,South America
1950,1950-06-29 15:30:00,Group Stage,Durival de Brito,Curitiba ,Sweden,2.0,2.0,Paraguay,,Brazil,1950,0.0,Draw,False,False,True,,Group Stage,False,4.0,4,False,False,False,False,1,Europe,South America,South America
1950,1950-06-29 15:00:00,Group Stage,Independencia,Belo Horizonte ,United States,1.0,0.0,England,,Brazil,1950,1.0,Home Win,True,False,False,Narrow,Group Stage,False,1.0,4,False,False,False,False,1,North America,Europe,South America
1950,1950-07-01 15:00:00,Group Stage,Maracan� - Est�dio Jornalista M�rio Filho,Rio De Janeiro ,Brazil,2.0,0.0,Yugoslavia,,Brazil,1950,2.0,Home Win,True,False,False,Clear,Group Stage,False,2.0,4,True,False,False,False,1,South America,Europe,South America
1950,1950-07-02 15:00:00,Group Stage,Maracan� - Est�dio Jornalista M�rio Filho,Rio De Janeiro ,Spain,1.0,0.0,England,,Brazil,1950,1.0,Home Win,True,False,False,Narrow,Group Stage,False,1.0,4,False,False,False,False,1,Europe,Europe,South America
1950,1950-07-02 15:00:00,Group Stage,Pacaembu,Sao Paulo ,Italy,2.0,0.0,Paraguay,,Brazil,1950,2.0,Home Win,True,False,False,Clear,Group Stage,False,2.0,4,False,False,False,False,1,Europe,South America,South America
1950,1950-07-02 15:00:00,Group Stage,Independencia,Belo Horizonte ,Uruguay,8.0,0.0,Bolivia,,Brazil,1950,8.0,Home Win,True,False,False,Rout,Group Stage,False,8.0,4,False,False,False,False,1,South America,South America,South America
1950,1950-07-02 15:40:00,Group Stage,Eucaliptos,Porto Alegre ,Switzerland,2.0,1.0,Mexico,,Brazil,1950,1.0,Home Win,True,False,False,Narrow,Group Stage,False,3.0,4,False,False,False,False,1,Europe,North America,South America
1950,1950-07-02 15:00:00,Group Stage,Ilha do Retiro,Recife ,Chile,5.0,2.0,United States,,Brazil,1950,3.0,Home Win,True,False,False,Rout,Group Stage,False,7.0,4,False,False,False,False,1,South America,North America,South America
1950,1950-07-09 15:00:00,Group Stage,Pacaembu,Sao Paulo ,Uruguay,2.0,2.0,Spain,,Brazil,1950,0.0,Draw,False,False,True,,Group Stage,False,4.0,4,False,False,False,False,1,South America,Europe,South America
